poll_id,token,institution,is_info_useful,is_info_missing,missing_info,improvements,date,missing_info_sentiment,improvements_sentiment,missing_info_en,improvements_en,missing_info_adj,improvements_adj,missing_info_noun_adj,improvements_noun_adj,missing_info_en_adj,improvements_en_adj,missing_info_en_noun_adj,improvements_en_noun_adj
9627,SRE144,SRE-03-007-A,0,Sí,para el tramite de renovacion de pasaporte en menores de edad hay restricciones en los aos de vigencia mi nia tiene  aos pido una de  aos  esta pagina del gobierno esta muy mal diseada,que necesidad de cambiar y cambiar estas paginas tan mal diseadas y querer acaparar todo muy mal en la sre de durango son unos huevones como que solo dan informacion de  a  de la tarde no son ni para contestar una simple pregunta o dar una forma para pagar en el banco muy mal que asco de servicio ,2017-03-13,0.0,0,for passport renewal process in minors there are restrictions on years of existence my child is  years old ask for a year  this page of the government is very badly designed,you need to change and change these pages so badly designed and want to monopolize everything really bad sre in durango are few idiots like that give information only  to  pm are neither to answer a simple question or give a way to pay on the bench very bad service sucks,menores diseñada,diseñadas simple asco,tramite renovación pasaporte menores restricciones años vigencia niña años años gobierno diseñada,necesidad paginas diseñadas información simple pregunta forma banco asco servicio,old,bad simple bad,passport renewal process minors restrictions years existence child years old year page government,change change pages everything bad SRE Durango idiots information pm simple question way bench bad service
9628,ISSSTE615,FOVISSSTE-00-004,1,Sí,la opcion de impresion de la constancia no debe ser nada mas en forma presencial se deberia acceder en linea,hacer mas amigable el portal y que se obtenga la informacion en linea,2017-03-13,0.0,1,the printing option perseverance must not be anything else in person should be accessed online,friendlier to the portal and information is obtained online,presencial,amigable,opción impresión constancia forma presencial línea,amigable portal información línea,else,friendlier portal,printing option Perseverance anything else person,friendlier portal information
9629,ISSSTE615,FOVISSSTE-00-004,1,Sí,la opcion de impresion de la constancia no debe ser nada mas en forma presencial se deberia acceder en linea,hacer mas amigable el portal y que se obtenga la informacion en linea,2017-03-13,0.0,1,the printing option perseverance must not be anything else in person should be accessed online,friendlier to the portal and information is obtained online,presencial,amigable,opción impresión constancia forma presencial línea,amigable portal información línea,else,friendlier portal,printing option Perseverance anything else person,friendlier portal information
9630,SEDENA36,SEDENA-01-007,0,Sí,la informacion que hay entre esta pagina y la informacion que manejan en la oficina de recepcion de documentos para el tramite de la cartilla no es la misma lo que conlleva a que en muchos de los casos a que dichos documentos sean rechazados por el personal a cargo," actualizar los documentos yo requisitos necesarios para el tramite en esta pagina 
 el personal a cargo de la recepcion de documentos deberia de ofrecer la informacion pertinente",2017-03-13,0.0,0,the information between this page and the information they have at the office of receipt of documents for processing the primer is not the same leading to many of the cases these documents are rejected by staff position," update documents and  or requirements necessary for processing on this page
 the staff in charge of receiving documents should provide relevant information",dichos rechazados personal,necesarios personal pertinente,información página información oficina recepción documentos trámite cartilla casos dichos documentos rechazados personal cargo,documentos requisitos necesarios trámite página personal cargo recepción documentos información pertinente,many,necessary relevant,information page information office receipt documents processing primer many cases documents staff position,documents requirements necessary processing page staff documents relevant information
9631,ISSSTE615,FOVISSSTE-00-004,1,No,,"buen dia 
si ya se podia obtener en linea porque no a todos se nos permite salir o faltar con tanta facilidad para recoger personalmente la constancia porque vuelven a dificultar las cosas",2017-03-13,0.0,0,,"good day
if you could already get online because not all we are allowed to leave or miss so easily to personally collect the record  why make things difficult again",,Buen,,Buen día línea facilidad constancia cosas,,Good difficult,,Good day record things difficult
9632,SRE117,SRE-03-006-A,1,Sí,considero que estaba mejor antes la pagina individual de sre pues no se puede hacer la cita en linea y eso es mas practico que lidiar a veces con la o el operadora,poner la opcion de crear o cancelar la cita para pasaporte en linea,2017-03-13,0.0,0,i think it was better before sre individual page because you can not make an appointment online and it is more practical to deal sometimes with the or operatora,put the option to create or cancel the appointment online passport ,mejor individual sre practico,,mejor pagina individual sre cita linea practico veces,opcion cita pasaporte,better individual online practical,online,better sre individual page appointment online practical deal operator a,option create cancel appointment online passport
9633,STPS585,STPS-04-003,0,Sí,los formatos para realizar el tramite,bastante para empezar los formatos requeridos no estan a la mano,2017-03-13,1.0,0,formats for the processing,enough to begin the required formats are not at hand,,requeridos,formatos trámite,formatos requeridos mano,,,Formats processing,formats hand
9634,IMSS191,IMSS-02-066-H,0,Sí,direccionar,poder realmente hacer tramite en linea,2017-03-13,1.0,1,address,to actually do apply online,,,,tramite linea,,,address,
9635,SRE572,SRE-01-020-A,1,Sí,en la pagina de inicio te lleve inmediatamente a los documentos y costos que necesitas para poder tramitar por primera vez tu pasaporte y no abrir como  subpaginas hasta encontrar la informacion es muy confusa,colocar los precios en dolares si como mexicano vas a pagar en pesos,2017-03-13,0.0,0,on the home page takes you immediately to documents and costs that need to process your passport for the first time and not open like  subpages to find information it is very confusing,place the dollar prices if as mexico are paying in pesos,costos primera confusa,dólares,pagina inicio documentos costos primera vez pasaporte subpaginas información confusa,precios dólares mexicano pesos,first open confusing,,home page documents costs process passport first time open subpages information confusing,Place dollar prices Mexico pesos
9636,ISSSTE615,FOVISSSTE-00-004,0,Sí,saber si se puede hacer el tramite en linea a traves del portal de fovissste como se hacia antes,poner si los tramites se pueden hacer en linea como antes ya que ahora como esta en la pagina es mas complicado porque para todo dice que hay que asistir a las oficinas centrales como si en la oficina nos dieran permiso para salir a ver estos tramites,2017-03-13,1.0,1,know if you can step through online portal fovissste as to before,put if the paperwork may be made in line as soon as possible and that now like this on page is more complicated because for all said to be attending the headquarters as if in the office get us permission to leave to see these procedures,,COMPLICADO CENTRALES,TRÁMITE LÍNEA TRAVÉS PORTAL,TRÁMITES LINEA PÁGINA COMPLICADO OFICINAS CENTRALES PERMISO TRÁMITES,,POSSIBLE COMPLICATED,ONLINE PORTAL FOVISSSTE,PAPERWORK LINE POSSIBLE PAGE COMPLICATED HEADQUARTERS OFFICE PERMISSION PROCEDURES
9637,SRE112,SRE-03-002,1,Sí,solo existe un telefono que nunca contestan llevo  dias tratando de hacer una cita,el numero telefonico para citas no funciona revisen este numero,2017-03-13,1.0,1,there is only a phone that never answer took  days trying to make an appointment,telephone number for dating does not work checked this issue,,TELEFONICO,TELEFONO DIAS CITA,NUMERO TELEFONICO CITAS NUMERO,,,phone answer DAYS APPOINTMENT,TELEPHONE NUMBER DATING work ISSUE
9638,SRE113,SRE-03-003,1,No,,la atencion personalizada  facilitar la comunicacion inmediata sin complicacion en las llamadas telefonicas,2017-03-13,3.0,1,,personalized attention facilitate immediate communication without complication phone calls,,personalizada inmediata llamadas telefónicas,,atención personalizada comunicación inmediata complicación llamadas telefónicas,,immediate,,attention immediate communication complication phone calls
9639,IMSS210,IMSS-02-066-J,0,Sí,no encuentro la opcion para dar de alta a mis padre o esposa,incluir los pasos para dar de alta dentro del portal en linea,2017-03-13,0.0,1,i find the option to register to my father or wife,include steps to register in the online portal,alta,alta,opción alta padre esposa,pasos alta portal línea,,online,option register father wife,steps online portal
9640,SEP69,SEP-01-030-A,1,Sí,"no hay citas de marzo a mayo entonces que opciones de fechas nos pueden dar
no hay chat en vivo
no hay telefono ni correo de atencion para terminar tramites","opciones de un telefono chat correo electronico redes sociales
si no tienen citas de  a  meses  donde esta la lista de espera para citas
hagan una lista de espera de citas
sugiero que para agilizar tramite se pueda enviar todos los documentos escaneados contando con todos los requisitos que solicitan",2017-03-13,0.0,0,"no citations from march to may then options can give us dates
no live chat
no phone mail or care to complete paperwork","options for a phone chat email social networks
if you do not have quotes from  to  months  where is the waiting list for appointments
make a waiting list dating
i suggest to expedite processed can send all scanned documents having all the requirements applying",vivo,electrónico sociales escaneados,citas marzo mayo- opciones fechas chat vivo teléfono correo atención tramites,opciones teléfono chat correo electrónico redes sociales citas meses lista citas lista citas tramite documentos escaneados requisitos,live complete,social,citations March May options dates live chat phone care complete paperwork,options phone chat email social networks quotes months waiting list appointments waiting list dating expedite documents requirements
9641,ISSSTE615,FOVISSSTE-00-004,1,Sí,si mas adelante se va a poder solicitar por internet como anteriormente se llevaba a cabo,que se pueda realizar por internet,2017-03-13,1.0,1,if later he will be able to apply online as above is carried out,that can be done online,,,internet cabo,internet,able,,able,
9643,SRE145,SRE-03-007-B,1,No,,hacer las citas en linea no por telefono era mas facil y eficiente online,2017-03-13,3.0,1,,make appointments online not by phone it was easier and efficient online,,facil eficiente,,citas telefono facil eficiente,,online easier efficient,,appointments online phone easier efficient online
9644,SEMAR3014,SEMAR-04-001,1,Sí,formato de carta compromiso,como es el formato de la carta compromiso enviar enlace o una imagen,2017-03-13,1.0,1,commitment letter format,as is the format of the commitment letter send link or picture,,,Formato carta compromiso,formato compromiso enlace imagen,,,Commitment letter format,format commitment letter link picture
9645,ISSSTE615,FOVISSSTE-00-004,0,Sí,hace falta poner mas informacion acerca de como puede uno consultar los su saldo del credito fovissste,poner en el portal de issste la consulta de la de intereses reales del credito hipotecario con el fovissste,2017-03-13,0.0,0,need to put more information about how one can consult your credit balances fovissste,putting on the portal of issste consultation of the real interest credit mortgage with fovissste,,HIPOTECARIO,FALTA INFORMACIÓN SALDO CRÉDITO,PORTAL CONSULTA INTERESES CRÉDITO HIPOTECARIO,MORE,REAL,MORE INFORMATION CREDIT BALANCES FOVISSSTE,PORTAL ISSSTE CONSULTATION REAL INTEREST CREDIT MORTGAGE FOVISSSTE
9646,SE66,SE-09-041,1,Sí,que se pueda realizar el tramite en linea,su pagina,2017-03-13,1.0,1,you can make apply online,your page,,,TRAMITE LINEA,PAGINA,,,,PAGE
9647,SRE145,SRE-03-007-B,1,No,,poder hacer citas a traves del internet seria lo mejor,2017-03-13,3.0,1,,to make appointments via the internet would be best,,,,citas través internet,,best,,appointments internet best
9648,SEDESOL322,SEDESOL-22-004,1,Sí,cuando a algun adulto no le llega su apoyo de uno o mas bimestres del programa de pension al adulto mayor el promotor de sedesol ignora el motivo de la suspension falta capacitacion a esos promotores,capacitacion al personal de campo de las mesas de atencion a los adultos mayores,2017-03-13,0.0,0,when an adult does not get support from one or more bimesters of the pension program for the elderly the promoter sedesol ignores the reason for the suspension these promoters lack training,personnel training camp tables attention to older adults,bimestres promotores,personal,apoyo bimestres motivo suspensión capacitación promotores,Capacitación personal campo mesas ATENCIÓN,adult,Older,adult support bimesters pension program promoter SEDESOL reason suspension promoters training,Personnel training camp tables Attention Older Adults
9649,SRE117,SRE-03-006-A,1,No,,no he podido comunicarme para sacar una cita,2017-03-13,3.0,1,,i could not communicate for an appointment ,,,,cita,,,,appointment
9650,SAT748,SAT-01-065,1,Sí,no sirve la pagina web para realizar este tramite no se puede hacer en linea,no sirve la pagina web para realizar este tramite no se puede hacer en linea,2017-03-13,0.0,0,does not serve the website to perform this procedure you can not do online,does not serve the website to perform this procedure you can not do online,web,web,pagina web tramite linea,pagina web tramite linea,,,website procedure,website procedure
9651,ISSSTE615,FOVISSSTE-00-004,0,Sí,informar si ya no se puede obtener la constancia via electronica,anteriormente podia consultar e imprimir esta constancia desde el sitio de fovissste ahora es solamente presencial,2017-03-13,1.0,0,if you do not inform you can get the evidence electronically,previously could ask and print this evidence from the site fovissste now is only classroom,,,CONSTANCIA ELECTRONICA,CONSTANCIA SITIO PRESENCIAL,,,EVIDENCE,EVIDENCE SITE FOVISSSTE CLASSROOM
9652,ISSSTE615,FOVISSSTE-00-004,0,Sí,descargar la constancias de intereses pagados por creditos hipotecarios tal como se hacia hasta el ao pasado,que dicho tramite se haga en linea,2017-03-13,0.0,1,download the records of interest paid on mortgage loans as it was until last year,that this process is done online ,pagados hipotecarios pasado,dicho,constancias intereses pagados créditos hipotecarios año pasado,dicho trámite línea,last,,Download records interest mortgage loans last year,process
9653,ISSSTE521,ISSSTE-00-009-A,0,Sí,la informacion que hapia en la pagina anterior y la forma de acceder a ella,dejar de usar el portal gobmx y regresar a las versiones de las paginas que tenia cada dependencia ha perdido toda utilidad,2017-03-14,1.0,0,hapia information on the previous page and how to access it,stop using the portal gobmx and return to the versions of the pages in each unit he has lost all utility,anterior,paginas,información página anterior,portal versiones paginas dependencia utilidad,Hapía previous,portal,Hapía information previous page access,portal gob. mx return versions pages unit utility
9654,INDESOL638,SEDESOL-01-001,1,Sí,les falta el guion de los proyecto como los quieren en un orden de como nace la idea y como concluye la idea,hacer breve y concisa las forma de de los formatos de los preyectos,2017-03-14,0.0,1,they lack the script of the project as they want them in order of how the idea was born as concludes the idea,make the brief and concise form of the preyectos formats,,breve concisa preyectos,falta guion proyecto orden idea idea,breve concisa forma formatos preyectos,,brief concise,lack script project order idea idea,brief concise form preyectos formats
9655,sep.2550,SEP-18-004-F,0,Sí,actualizar los costos de examen profesional y la de atenticidad en la ficha de pago,actualizar informacion,2017-03-14,1.0,1,upgrading costs and professional examination of atenticidad in the form payment,update information,PROFESIONAL,,COSTOS EXAMEN PROFESIONAL ATENTICIDAD FICHA PAGO,INFORMACION,PROFESSIONAL,,COSTS PROFESSIONAL EXAMINATION ATENTICIDAD FORM PAYMENT,UPDATE INFORMATION
9656,ISSSTE623,FOVISSSTE-00-006,0,Sí,todo,todo,2017-03-14,1.0,1,everything,everything,,,,,,,everything,everything
9657,STPS1687,STPS-04-004,1,Sí,pasos para el tramite de alta a la comision mixta de seguridad e higiene,colocar pasos o procedimiento,2017-03-14,1.0,1,steps to step to high commission joint health and safety,placing steps o procedure,ALTA MIXTA,,PASOS TRAMITE ALTA COMISION MIXTA SEGURIDAD HIGIENE,PASOS PROCEDIMIENTO,HIGH,,STEPS HIGH COMMISSION JOI HEALTH SAFETY,STEPS PROCEDURE
9658,SEDESOL1583,SEDESOL-29-003,0,Sí,en la lista de municipios no aparece mas que puebla capital solo esa delegacion existe estoy solicitando apoyo para mi nieto huerfano e ir hasta puebla requiere dinero que no tengo gracias,informacion clara para personas que no estamos acostumbradas a operar computadoras ejemplo  reune estos papeles  dirigete a tu presidencia municipal con   ellos haran el tramite que durara tantos dias  presentate tal dia para recibir un si o un no  eso es todo gracias,2017-03-14,0.0,0,in the list of municipalities it appears only puebla capital exists only that delegation i am requesting support for my orphaned grandson and go to puebla it takes money that i have thanks,clear information for people who are not used to operate computers such as  meets these papers  go to your local presidency  they will make the process that will last for many days  presentate that day to receive a yes or no  thats all thanks,capital nieto huerfano,clara acostumbradas municipal,lista municipios capital delegación apoyo nieto huerfano dinero gracias,Información clara personas acostumbradas computadoras ejemplo papeles presidencia municipal tramite días tal día gracias,,clear local last many presentate,list municipalities Puebla capital delegation support grandson Puebla money thanks,clear information people computers papers local presidency process last many days presentate day thanks
9659,ISSSTE615,FOVISSSTE-00-004,1,Sí,no hacer ir a la gente salvo que sea estrictamente necesario,todo que sea utilizando la teconologia de las comunicaciones via internet,2017-03-14,0.0,1,do not go to the people unless strictly necessary,all that is using teconologia communications via internet,ESTRICTAMENTE NECESARIO,,GENTE ESTRICTAMENTE NECESARIO,TECONOLOGIA COMUNICACIONES,necessary,,PEOPLE necessary,teconologia INTERNET
9660,SEGOB3000,SGOB-01-007,1,Sí,antes de aposillar en la secretaria de goberncion tienes que ir a la secretaria de educacion publica a que te pongan un sello en ningun lugar te lo dicen mas que cuando llegas a la secretaria de gobernacion preguntenle al estado de puebla como pueden hacer mas eficiente los tramites de gobierno por favor,pongan la informacion completa y digitalicen su trabajo ya salgan del archivero porfavor vamos a llegar a marte y ustedes siguen usando archiveros,2017-03-14,0.0,0,aposillar before the secretary of goberncion you have to go to the ministry of education to get a stamp nowhere tell you more when you get to the interior ministry just ask the state of puebla as they can make governance processes more efficient please,put the full information and work  digitalize and leave archivist please  lets get to mars and you are using archivists,eficiente,COMPLETA DIGITALICEN,secretaria gobernción secretaria educacion sello lugar secretaria gobernación puebla eficiente tramites gobierno FAVOR,INFORMACIÓN COMPLETA DIGITALICEN TRABAJO ARCHIVERO marte archiveros,efficient,FULL,Aposillar secretary gobernción Ministry Education stamp Interior Ministry state Puebla governance processes efficient,FULL INFORMATION WORK archivist Mars archivists
9661,ISSSTE615,FOVISSSTE-00-004,0,Sí,no se puede imprimir desde mi computadora hay que ir personalmente a realizar el tramite por favor requiero respuesta soy de torreon coahuila,la la pagina con informacion para poder acceder desde mi computadora,2017-03-14,0.0,1,you can not print from my computer have to go personally to perform the procedure please answer testify i am from coahuila torreon,the page to access information from my computer,torreón coahuila,,computadora tramite favor respuesta torreón coahuila,pagina información computadora,,,computer procedure coahuila Torreón,page access information computer
9662,SRE117,SRE-03-006-A,1,No,,tener servicio que permite a alguien que estudia o trabaja obtener su pasaporte sin faltar a la escuela o trabajo en otros paises se manda los documentos por correo,2017-03-14,3.0,0,,having service that allows someone studying or working to get your passport without missing school or work in other countries the documents are mailed,,,,servicio pasaporte escuela trabajo países documentos correo,,,,service someone passport school work countries documents
9663,ISSSTE516,ISSSTE-00-007-A,1,No,,que para sacar una cita  te piden tu curp pero si tu curp lo tienen registrado mal y es el que quieres ir a modificar es mas que ovio que nunca lo aceptara y por ende no puedes sacara la cita,2017-03-14,3.0,0,,that to make an appointment ask for your curp but if you have registered your curp wrong and who want to go to change is more than obvious that you never accept it and therefore can not take out the quote,,registrado,,cita curp curp registrado cita,,wrong obvious,,appointment CURP CURP wrong obvious quote
9664,UNADM1064,UNADM-00-001,0,Sí,que sea reales las fechas en las que se supuso debia de haber convocatoria,solo lo unico que falto es que saliera la convocatoria en julio de  y en febrero de  ya que en ninguna de las  fechas aparecio convocatoria,2017-03-14,1.0,0,that is actual dates in which he guessed must have call,only thing missing is only to come out the announcement in july  and february  and that none of the  dates showed up call,reales,único,reales fechas convocatoria,único convocatoria Julio 2016 febrero fechas convocatoria,actual,Only missing,actual dates,Only thing missing come announcement July February none dates call
9665,CNP834,PROSPERA-00-006,1,No,,ayudar ala gente ke mas nesecita,2017-03-14,3.0,1,,ke ala help people more nesecita,,,,gente,,,,Ke people
9666,sep.3032,SEP-25-002-B,1,Sí,que el tramite se pueda relaizar en linea,que el tramite se pueda realizar en linea,2017-03-14,1.0,1,that the process can be relaizar online,that the procedure can be performed online,,,tramite linea,tramite linea,,,process relaizar,procedure
9667,SRE113,SRE-03-003,1,No,,mejorar la dinamica para agendar citas a traves de internet,2017-03-14,3.0,1,,improve the dynamic schedule for appointments over the internet,,,,dinámica citas través internet,,dynamic,,dynamic schedule appointments Internet
9668,SEP69,SEP-01-030-A,1,Sí,"que haya un enlace facil para conocer la clave de la institucion y carrera
el link me pide usuario y contrasea y yo no cuento con ninguno de los dos datos por tanto llame a la escuela normal y me dieron las claves de la institucion y carrera pero la solicitud no me la acepta dice que son erroneas",un acceso rapido para consultar las claves de carrera y de la institucion,2017-03-14,0.0,1,"there is an easy link for the key institution and career
the link asks me username and password and i do not have neither data therefore i called normal school and i got the keys to the institution and career but the application does not accept me he says they are wrong",quick access to key career consulting and institution,fácil normal erróneas,rápido carrera,fácil clave institución carrera link usuario contraseña cuento datos escuela normal claves institución carrera solicitud erróneas,acceso rápido claves carrera institución,easy key normal wrong,Quick key,easy link key institution career link username password data normal school keys institution career application wrong,Quick access key career consulting institution
9669,sep.1635,SEP-01-017-A,0,No,,gracias por preguntar no es justo para las personas que vivimos fuera de la ciudad de mexico que seamos obligados a ir a mexico para tramitar la cedula profecional eso solo es una invitacion a que nos roben la ciudad de mexcico es la ciudad mas que mas roba a los mexicanos que van de otros estados y la verdad da miedo ir a hacer un tramite que cencillamente podria realizarlo por internet pues por tratar de mejorar nuestra vida personal y la de nuestras familias al obtener la cedula profecional para aspirar a un mejor empleo y al ir a la ciudad de mexico no solo arriesgo a ser asaltado por los delincuentes si no que tambien pongo en riesgo mi vida y la de mi familia la verdad no se si vale la pena el riesgo gracias por su comprencion y espero que algun dia en el futuro dejen de centralizar este tipo de tramites y permitan que los estados creescan gracias,2017-03-14,3.0,0,,thanks for asking its not fair for people who live outside the city of mexico we are forced to go to mexico to process the cadre cedula thats just an invitation to steal our city mexcico is the city more than most robs mexican ranging from other states and the truth is scary going to do a process that cencillamente could realize it online then try to improve our personal lives and our families to obtain the cadre identification card to aspire to a better job and going the city of mexico not only risk being assaulted by criminals if not that also put at risk my life and my family if the truth is not worth the risk thanks for your understanding and hope that someday in the future to centralize stop such procedures and allow states creescan thanks,,mexico obligados mexico profecional solo mexcico personal profecional mejor mexico futuro,,gracias personas ciudad mexico obligados mexico cedula profecional solo invitacion ciudad mexcico ciudad mexicanos verdad miedo tramite internet vida personal familias cedula profecional mejor empleo ciudad mexico delincuentes riesgo vida familia verdad pena riesgo gracias comprencion dia futuro tipo tramites creescan gracias,,fair Mexican scary personal better worth future creescan,,thanks fair people city mexico go Mexico process Cadre cedula invitation city Mexcico city Mexican states truth scary going process cencillamente personal lives families Cadre identification card aspire better job city Mexico risk criminals risk life family truth worth risk thanks understanding someday future centralize stop procedures states creescan thanks
9670,ISSSTE636,FOVISSSTE-00-012-B,0,Sí,se debe precisar por estado en la republica viaje el  de marzo a cancun para cancelar una hipoteca y en ventanilla me pidieron otra serie de documentos tales como (talones de pado con y sin descuento caratula pagos bancarios etc todo esto me lo revisaron en cdmx para darme el finiquito por lo que no me hicieron el tramite solo viaje y gaste en vano por creer la informacion de esta pagina,la veracidad de la informacion,2017-03-14,0.0,1,this should state by state in the republic travel on march  cancun to cancel a mortgage and at the window asked me another series of documents such as (pado heels with and without discount caratula bank payments etc all this cdmx checked me in to give me the settlement so i did step one trip and spend in vain to believe the information on this page,the accuracy of the information,pado bancarios solo,,Viaje marzo hipoteca ventanilla serie documentos talones pado descuento caratula pagos bancarios finiquito trámite solo viaje información página,veracidad información,vain,,state state Republic Travel March Cancun mortgage window series documents pado heels discount caratula bank payments CDMX settlement trip vain information page,accuracy information
9671,INM822,INM-03-010-A,1,Sí,no aparece el local de inm en leon gto,asistirlo con mapa,2017-03-14,1.0,1,not the local inm appears in leon gto,assist with map,,,local inm leon gto,mapa,local,,local INM leon gto,map
9672,SEGOB172,SEGOB-05-004,1,Sí,si se expide un documento curp con la leyenda  baja por defuncion,indicarlo en el formato con los datos de la persona dada de baja al igual que lo hacen en caso de correcciones,2017-03-14,1.0,0,if curp issues a document with the words go down death,indicate in the form data with person derecognized him do it like in case of corrections,,DADA IGUAL,DOCUMENTO CURP LEYENDA BAJA DEFUNCIÓN,INDICARLO FORMATO DATOS PERSONA DADA BAJA IGUAL CASO CORRECCIONES,,,CURP document words DEATH,FORM DATA PERSON CASE CORRECTIONS
9673,ISSSTE615,FOVISSSTE-00-004,1,No,,hacer el tramite en linea,2017-03-14,3.0,1,,i do apply online,,,,línea,,,,
9674,ISSSTE615,FOVISSSTE-00-004,0,Sí,hacer el tramite en linea,poner la informacion necesaria,2017-03-14,1.0,1,do apply online,put the necessary information,,NECESARIA,TRÁMITE,INFORMACIÓN NECESARIA,,NECESSARY,,NECESSARY INFORMATION
9675,ISSSTE615,FOVISSSTE-00-004,1,No,,porque se cambio la modalidad de poder extraer la constancia de intereses reales pagados de credito hipotecario fovissste via internet a solicitud presencial en las oficinas de vivienda,2017-03-14,3.0,1,,because the mode is changed to remove the evidence of actual interest paid mortgage fovissste via the internet to request face housing offices,,reales pagados hipotecario presencial,,modalidad constancia intereses reales pagados crédito hipotecario solicitud presencial oficinas vivienda,,actual,,mode evidence actual interest mortgage FOVISSSTE Internet request face housing offices
9676,IMSS169,IMSS-02-030-A,1,Sí,"la cuota anual que debe pagarse o alguna forma de calcularla porque hay desconocimiento general de ese dato 

terminaron dandome un costo que me indicaron correspondia al pago de un salario minimo "," capacitacion al personal encargado de dar la informacion via telefonica en las subdelegaciones llame a la subdelegacion  y me transfirieron mas de  veces en  de ellas me dejaron esperando en la linea y contestaban porque veian el telefono descolgado el dato que me dieron fue la cuota anual considerando el pago de salario minimo
 incluir en el portal una calculadora para realizar el calculo en funcion del salario devengado",2017-03-14,0.0,0,"the annual fee to be paid or some way to calculate because there is widespread ignorance of that fact

they ended up giving me a cost that indicated i was for payment of a minimum wage "," training of personnel responsible for giving information by telephone in the subdelegations i called the sub  and transferred me over  times in  of them left me waiting in line and answered the phone off the hook because they saw the fact that i got was the annual fee considering paying minimum wage
 include in the portal a calculator to perform the calculation based on the salary earned",anual general mínimo,personal encargado telefónica descolgado anual mínimo calculadora devengado,cuota anual forma desconocimiento general dato costo pago salario mínimo,Capacitación personal encargado información telefónica subdelegaciones subdelegación veces línea teléfono descolgado dato cuota anual pago salario mínimo portal calculadora cálculo función salario devengado,annual widespread minimum,responsible annual minimum portal,annual fee way widespread ignorance fact cost minimum wage,Training personnel responsible information telephone subdelegations sub times waiting line phone hook fact annual fee minimum wage portal calculator perform calculation salary
9677,ISSSTE615,FOVISSSTE-00-004,1,Sí,porque se cambio la modalidad de poder extraer la constancia de intereses reales pagados de credito hipotecario fovissste via internet a solicitud presencial en las oficinas de vivienda,habilitar la opcion de impresion por internet,2017-03-14,0.0,1,because the mode is changed to remove the evidence of actual interest paid mortgage fovissste via the internet to request face housing offices,enable the internet printing,reales pagados hipotecario presencial,,modalidad constancia intereses reales pagados crédito hipotecario solicitud presencial oficinas vivienda,opción impresión,actual,,mode evidence actual interest mortgage FOVISSSTE Internet request face housing offices,Internet Printing
9678,IMSS411,IMSS-01-018,1,Sí,no alcance a ver algun cotizador para conocer el monto aproximado de mi pension en caso de obtener este beneficio,hacer los tramites via internet y solo acudir a ventanilla a presentar la documentacion cuando el interesado es el asegurado regularmente necesita estar pidiendo permisos para salir no en todas partes los conceden,2017-03-14,0.0,0,could not see any cotizador to know the approximate amount of my pension in the event to obtain this benefit,make arrangements via internet and only go to window to submit documentation when the interested is insured regularly need to be asking permission to exit not the granting everywhere,APROXIMADO,SOLO,COTIZADOR MONTO APROXIMADO PENSION CASO BENEFICIO,TRAMITES SOLO VENTANILLA DOCUMENTACION INTERESADO ASEGURADO PERMISOS PARTES,APPROXIMATE,INTERESTED INSURED,COTIZADOR APPROXIMATE AMOUNT PENSION EVENT BENEFIT,arrangements INTERNET WINDOW DOCUMENTATION INTERESTED INSURED PERMISSION EXIT
9679,SRE113,SRE-03-003,0,Sí,deberian poner el calendario de dias disponibles para tener una idea de que tan pronto puede realizarse el tramite,de entrada sus sistemas es demasiado el tiempo perdido en la llamada para que me salgan con tenemos un problema con el aplicativo y solo para verificar los datos no maaaaa,2017-03-14,0.0,0,they should put the calendar of available days to get an idea of how soon the process can be performed,their entry systems is too lost time in the call leaving me to have a problem with the application and only to verify data  no maaaaa,disponibles,perdido llamada,calendario dias disponibles idea tramite,entrada sistemas tiempo perdido llamada problema aplicativo datos,available,,calendar available days idea process,entry systems time call problem application data
9680,SEGOB171,SEGOB-05-005,0,Sí,fui al modulo de dinamarca  solo con los documentos que menciona esta pagina  pero no pude realizar el tramite ya que el tramite es para mi mama y tengo que demostrar ser su hijo presentando mi identificacion personal y mi acta de nacimiento cosa que no dice en los requisitos,pongan personas capacitadas para la atencion,2017-03-14,0.0,1,i went to the module of denmark only with the documents mentioned here but i could not perform the procedure because the procedure is for my mom and i have to prove your child presenting my personal identification and my birth certificate which does not say in requirements,put people trained to care,solo personal,capacitadas,módulo solo documentos página trámite trámite mamá hijo identificación personal acta nacimiento cosa requisitos,personas capacitadas atención,personal,,module Denmark documents procedure procedure mom child personal identification birth certificate requirements,people care
9681,SEGOB171,SEGOB-05-005,0,Sí,fui al modulo de dinamarca  solo con los documentos que menciona esta pagina  pero no pude realizar el tramite ya que el tramite es para mi mama y tengo que demostrar ser su hijo presentando mi identificacion personal y mi acta de nacimiento cosa que no dice en los requisitos,pongan personas capacitadas para la atencion,2017-03-14,0.0,1,i went to the module of denmark only with the documents mentioned here but i could not perform the procedure because the procedure is for my mom and i have to prove your child presenting my personal identification and my birth certificate which does not say in requirements,put people trained to care,solo personal,capacitadas,módulo solo documentos página trámite trámite mamá hijo identificación personal acta nacimiento cosa requisitos,personas capacitadas atención,personal,,module Denmark documents procedure procedure mom child personal identification birth certificate requirements,people care
