Encuesta,Ficha,Homoclave,1.1 ¿Te parece útil esta información?,1.2 ¿Consideras que falta información?,1.3 ¿Qué información crees que falta?,1.4 ¿Qué podemos mejorar?,Fecha,Sentimiento 1,Sentimiento 2,1.3 Inglés,1.4 Inglés
8035,SRE92,SRE-01-010-A,No,Sí,el nic o icono que pueda anvairme a la pagina para poder agendar una cita para la inscripcion de nacimiento . por que no puedo relizar cita ya que no encuento un numero de telefono en Mexico que me pueda ayudar . al iigual que los correos,"dar un numero de telefono donde atienda una operadora para dar solucion al problema, ya que el numero 01 800 801 0773 solo agendan citas para Pasaporte Mexicano , no cuenta con la informacion para ayudar",2017-01-16,0,0,the nic or icon that can anvairme the page to schedule an appointment for birth registration. because I can not relizar appointment because I do not encuenta a phone number in Mexico you can help me. to the iigual that e,"give a telephone number where they attend an operator to solve the problem because the number 01 800 801 0773 agendan only appointments for Mexican passport, does not have the information to help"
8036,SEDENA1550,SEDENA-02-020,Sí,Sí,Falta que digan donde compro el arma,Que solo existe un lugar en el cual se hace ese tramite y tengo que hacer un viaje de 14 hrs hasta la capital,2017-01-16,1,0,Need to say where I buy the gun,That there is only one place where that process is done and I have to make a trip to the capital 14 hrs
8037,SEP844,sep.-23-2001,Sí,No,,"Fijar los datos d domicilio soy dl estado d veracruz con municipio el higo,ver",2017-01-16,3,1,,"Address data set d dl state d'm Veracruz municipality fig, see"
8038,SEP844,sep.-23-2001,Sí,No,,"Me llamo Kenly Saucedo Grande soy del estado de Veracruz,municipio El Higo,ver en segundo semestre del Tebae",2017-01-16,3,1,,"My name Kenly Saucedo Big'm from the state of Veracruz, municipality El Higo, see second half of the Tebae"
8039,STPS582,STPS-04-002,Sí,No,,TODO BIEN,2017-01-16,1,2,,ALL GOOD
8040,IMSS767,IMSS-02-029,Sí,Sí,"MAS QUE INFORMACION LO QUE NO ME DEJA ES CAPTURAR DATOS DE MI NEGOCIO EN EL FORMATO CLEM 22 (ESTAMOS EN ENERO Y SOLO QUISE HACER UNA PRUEBA PERO NO ME DEJA HACERLO) ¿ POR QUE NO FACILITAR O INFORMAR AL CONTRIBUYENTE LA FORMA DE HABILITAR ESTE FORMATO PARA LLENAR LOS DATOS Y QUE CON ELLOS SE CALCULE AUTOMATICAMENTE LA PRIMA?
MUCHAS GRACIAS.","EN PRIMER LUGAR: LAS APLICACIONES CON LAS CUALES SE PUEDEN LLENAR LOS DATOS AL ABRIRLAS, IMPRIMIRLOS O ENVIARLOS POR INTERNET. QUE NO TENGA EL CONTRIBUYENTE QUE TENER METERSE AL PROGRAMA IDSE YA QUE DICHO PROGRAMA TIENE MUCHAS FALLAS Y CON FRECUENCIA LOS CONTADORES SE QUEJAN DE ELLO Y QUE LA OBTENCION DE LA FIRMA DIGITAL PUEDA SER LA MISMA QUE LA CLAVE FIEL PARA NO TENER QUE TENER UNA NPIE QUE POR CIERTO NO MUCHOS LA TIENEN PORQUE NO ESTA CLARO COMO OBTENERLA. 
GRACIAS.",2017-01-16,0,0,"MORE THAN INFORMATION WHAT IS NOT LET ME IS TO CAPTURE DATA MY BUSINESS IN THE FORMAT LCMS 22 (ARE IN JANUARY AND ONLY WANTED TO DO A TEST BUT NOT LET ME DO) WHY NOT PROVIDE OR INFORM THE TAXPAYER THE WAY TO ENABLE THIS FORM DATA TO FILL THEM AND BE CALCULATED aUTOMATICALLY WITH THE PRIMA?
THANKS A LOT.","FIRST: THE APPLICATIONS WHICH MAY FILL THE DATA TO THE open them, print them or send them via INTERNET. NOT HAVE THE TAXPAYER TO HAVE getting A PROGRAM IDSE since this program has many FAULTS AND OFTEN ACCOUNTANTS COMPLAIN OF IT AND OBTAIN THE DIGITAL SIGNATURE MAY BE SAME THE KEY FAITHFUL TO NOT HAVE TO HAVE A NPIE which certainly they did not have it because MANY NOT CLEAR HOW TO OBTAIN.
THANK YOU."
8041,SFP54,SFP-04-001,No,Sí,"Indicar a las personas que se anotaron que si no están presentes, se formen al final de la línea.","Cuando acudimos a cita presencial, las personas que se anotaron y no se encuentran presentes una vez que hacemos la fila, h llegan después, no deberían ser aceptados h deberían hacer fila hasta el final y no meterse en los que ya estamos formados.",2017-01-16,0,0,"Tell people who registered if they are not present, are formed at the end of the line.","When we come to face appointment, people who signed up and are not present once we make the line, h arrive later should not be accepted h should stand in line until the end and not get where we are already formed."
8042,ISSSTE814,ISSSTE-06-005-B,Sí,Sí,En que fecha comienza os préstamos especiales personales .,Está bien lo demás gracias,2017-01-16,1,2,That date will begin special personal loans.,Else is fine thanks
8043,SESNSP2974,SESNSP-00-004,Sí,Sí,"Nadie contesta en los telefonos que ustedes dan,","Nadie contesta en los telefonos que ustedes dan. Solicito informacion para que una app que estamos desarrollando, sea capaz de hacer una consulta en su portal sin el recapcha. Que requisitos debo de cubrir es necesario que haga este registro Solicitud de usuario para el Registro Público Vehícular (REPUVE)????Tendria algun costo?",2017-01-16,0,0,"Nobody answer phones that you give,",Nobody answer phones that you give. Request information for a app we are developing is able to make an inquiry on its website without recapcha. Which should cover requirements necessary to make this record User Application for Registration Public Vehicular (REPUVE) ???? would have any cost?
8044,IMSS141,IMSS-03-011,Sí,No,,"Considero que debería haber otra línea telefonica ya que, aparece como inválida. Tengo dias que trato de agendar una cita y nadie contesta.
María Heriberta Rodríguez Esparza 2179611078-7 tengo que hacer una cita cada mes por mi tratamiento contra cáncer.
Muchas gracias !",2017-01-16,3,0,,"I think there should be another phone line as it appears to be invalid. I have days I try to schedule an appointment and no one answers.
María Rodríguez Esparza Heriberta 2179611078-7 have to make an appointment every month for my cancer treatment.
Thank you !"
8045,CNP2491,PROSPERA-00-009-A,No,Sí,"Hola, no encuentro los requisitos para ser parte del programa PROSPERA, soy viuda y tengo dos hijos. Quiero pertenecer, para recibir el apoyo por primera vez.","El acceso a esta información, así como un telefono de contacto",2017-01-16,1,1,"Hi, I find the requirements to be part of the THRIVE program, I am a widow and two children. I want to belong, to be supported for the first time.",Access to this information and a contact telephone
8046,IMSS383,IMSS-01-009,Sí,Sí,como se cual es el monto que me prestan,"aclarar como es que me piden el acta de matrimonio, si estoy solicitando un credito para contraer matrimonio, no es incongruente?",2017-01-16,1,0,as that is the amount you lend me,"clarify as asking me the marriage certificate, if I am requesting a loan for marriage, it is not incongruous?"
8047,IMSS543,IMSS-03-005-A,No,Sí,Enque fechas son los tramites y cuantas hay en todo guadalajara,Poniendo toda la informacion completa,2017-01-17,1,1,Inwhichthe dates are the procedures and how many there are around Guadalajara,Putting complete information
8048,ISSSTE1722,ISSSTE-07-001,Sí,No,,No puedo hacer cita médica y ya lo hice este mes favor de verificar mis datos!,2017-01-17,3,0,,I can not make medical appointment and this month I did and please check my data!
8049,SRE2428,SRE-03-007-B,Sí,Sí,"Dan diferente información vía telefónica y en la página, además es difícil llegar al vínculo donde aparece la información de requisitos.",Agendar la cita a través de la página,2017-01-17,0,1,"Give different information by telephone and on the page, it is also difficult to reach the link where information requirements appears.",Schedule the appointment through page
8050,ISSSTE1722,ISSSTE-07-001,No,Sí,No se encuentra la pagina activa y se batalla mucho,La rapidez en el servicio,2017-01-17,0,1,You can not find the active page and battle long,The speed of service
8051,SEP67,SEP-01-027-A,Sí,No,,no se puede hacer el tramite en mi estado?,2017-01-17,3,1,,You can not make processed in my state?
8052,sep.3032,SEP-25-002-B,No,Sí,falta la hoja de ayuda para tramites y servicios,la información que maneja,2017-01-17,1,1,missing sheet support for procedures and services,the information handled
8053,SEP69,SEP-01-030-A,Sí,No,,"Deberia haber unas oficinas regionales para hacer este tramite, o en este caso poderlo hacer en línea, escaneo de documentos y si todo esta bien el envio por paqueteria, al igual que la cedula, imeginense los gastos que hace uno cuando viaja del sur del pais... es mucho dinero... o a los foraneos que vivimos muy lejos tramitarla ese mismo día.",2017-01-17,3,0,,"There should be some regional offices to make this step, or in this case able to do online, scanning documents and if all is well sending by courier, to equal the cedula, imeginense expenses you do when traveling from the south of the country ... a lot of money ... or the foreigners who live far deal with it that day."
8054,SRE112,SRE-03-002,Sí,Sí,Mas delegaciones mencionadas la mia es venustiano carranza. Y no aparece.,Detallar mas información.,2017-01-17,0,1,More delegations mentioned mine is Venustiano Carranza. And it does not appear.,More detail information.
8055,SEMARNAT248,SEMARNAT-03-041-A,Sí,No,,Que hagan el formato editable o una versión en WORD,2017-01-17,3,1,,Make editable format or Word version
8056,INAPAM2791,INAPAM-01-001,Sí,Sí,No hay plásticos en el módulo de Naucalli,Teniendo el material necesario,2017-01-17,1,1,No plastic in the module Naucalli,Taking the necessary material
8057,CENATRA1586,CNTRA-01-008,No,Sí,¿Por qué no ampliar la cartera de entidades federales e incluir todas? Sólo está el Distrito Federal.,Agreguen todas las entidades federales y realicen el registro por internet,2017-01-17,1,1,Why not expand the portfolio of federal agencies and include all? Only the Federal District.,Add all federal entities and make online registration
8058,IMSS593,IMSS-02-002-B,No,Sí,SI SOY PERSONA MORAL COMO ES QUE ME PIDEN MI CURP PARA PODER ACCEDER A LOS TRAMITES POR INTERNET???? ES ESO CORRECTO???,SEAN CLAROS Y RECUERDEN QUE EXISTEN EMPRESAS QUE DESEAN REALIZAR TRAMITES POR INTERNET Y EL SOLICITAR CURP??? PARA PODER CREAR UNA CUENTA NO ES FUNCIONAL,2017-01-17,0,0,MORAL PERSON AS IF I AM IS THAT FOR ME CALL MY CURP to access the business via the Internet ???? IS THAT CORRECT???,Be clear and remember that there are companies who want to do business via the Internet and Applying CURP ??? IN ORDER TO CREATE AN ACCOUNT IS NOT FUNCTIONAL
8059,SEGOB171,SEGOB-05-005,Sí,Sí,"Desplegar todas las opciones de Estado, para identificar oficinas para trámites de modificación de CURP, ya que sólo aparece DF, que por cierto ya no existe. Gracias.","Desplegar todas las opciones de Estado, para identificar oficinas para trámites de modificación de CURP, ya que sólo aparece DF, que por cierto ya no existe. Gracias.",2017-01-17,0,0,"Display all options of state offices to identify modification procedures CURP as only appears DF, which incidentally no longer exists. Thank you.","Display all options of state offices to identify modification procedures CURP as only appears DF, which incidentally no longer exists. Thank you."
8060,ISSSTE504,ISSSTE-02-002,Sí,Sí,NECESITAMOS QUE SE EXTIENDA EL SERVICIO A ORIZABA O CÓRDOBA,AMPLIANDO LA COBERTURA,2017-01-17,1,1,NEED TO EXTEND SERVICE Orizaba and Cordoba,EXPANDING COVERAGE
8061,SRE144,SRE-03-007-A,Sí,No,,"Para pedir la cita, se requiere poner información de padres y soy extranjera
sin nacionalidad mexicana y aquí dice que puede identificar pasaporte emitido en el extranjero, pero para generar la cita, no hay opción de seleccionar pasaporte extranjero.",2017-01-17,3,1,,"To make an appointment, you are required to put information parents and am a foreigner
without nationality Mexican and it says here that can identify passport issued abroad, but to generate the quote, there is no option to select a foreign passport."
8062,SEP67,SEP-01-027-A,No,Sí,"Para mejorar en el servicio primero tendrían que brindar un servicio.
Falta notficicar que para obtener un duplicado de unacedula profesional necesitas hacer el tramite sin que la necesites, ya que se toma de una año a tiempo indefinido.",Tener dignidad renunciar y permitir que un portal electronico brinde mejor servicio que ustedes.,2017-01-17,0,0,"To improve the service they would first have to provide a service.
Notficicar needed that to get a duplicate of unacedula need professional make processed without the need, as it takes a year indefinitely.",Having renounce dignity and allow an electronic portal that you provide better service.
8063,SAT128,SAT-01-025,Sí,No,,"Cando se hace el registro en línea al final te aparece toda la pantalla en blanco y un mensaje que dice que el registro se hizo con éxito , pero no te arroja el RFC ni ningún documento, ni un aviso al correo electrónico registrado. 

Creo que falta orientación al final, y dado que aparece todo en blanco da la impresión que no estas en el sitio o que no se completo el proceso.

El registro fue realizado con el navegador Chrome Versión 44.0.2403.157 (64-bit) en un sistema Ubuntu.",2017-01-17,3,1,,"Cando registration is done online at the end you entire screen is blank and a message saying that the registration was successful, but do not throw the RFC or any document or notice to the registered email.

I think lack guidance to the end, and since it appears all white gives the impression that you are not on the site or that the process is not complete.

Registration was done with the browser Chrome version 44.0.2403.157 (64-bit) on an Ubuntu system."
8064,IMSS543,IMSS-03-005-A,Sí,No,,"cuando son las inscripciones
herminio_bugarin@hotmail.com",2017-01-17,3,1,,"When are the inscriptions
herminio_bugarin@hotmail.com"
8065,ISSSTE615,FOVISSSTE-00-004,No,Sí,"poder hacer el tramite como se hacía anteriormente, en linea",que se pueda realizar en linea,2017-01-17,1,1,to make processed as it was done previously online,that can be done online
8066,IMSS168,IMSS-02-025-C,Sí,Sí,"Por ejemplo los que no vivimos en México como solicitamos las semanas cotizadas antes del 1982 por favor informarme yo vivo en España, Madrid",Poder realizarlo por Internet por ejemplo,2017-01-17,1,1,"For example those who do not live in Mexico as requested weeks before the 1982 listed please tell me I live in Spain, Madrid",Internet to realize such
8067,sep.3035,sep.-25-2005,No,Sí,pago en linea,habilitar la opción de pagar en linea,2017-01-17,1,1,pay on line,Enable the option to pay online
8068,ISSSTE1722,ISSSTE-07-001,Sí,No,,"Que el trámite sea mas fácil y rápido, que no se tenga que ir de página en página para agendar una cita porque perdemos mucho tiempo en eso, que sea en una primera página y ya.. gracias..",2017-01-17,3,0,,"The process easier and faster, not have to go from page to page to schedule an appointment because we lose a lot of time on that, that is in a first page and you .. thanks .."
8069,ISSSTE1722,ISSSTE-07-001,No,Sí,todo,todo,2017-01-17,1,1,everything,everything
8070,IMSS141,IMSS-03-011,Sí,Sí,"cuesta mucho trabajo que contesten en el numero telefónico para solicitar consulta medica dice ""EL SISTEMA esta lento tarde 13 MINUTOS CON 47 SEGUNDOS","Yo como sea se meterme al internet pero las personal adultas Mayores creo que se les complicara el sistema.
Gracias",2017-01-17,0,0,"hard time to answer the phone number to seek medical consultation says ""the system is slow afternoon 13 MINUTES WITH 47 SECONDS","I will get me as to the internet but staff Older adults think they complicate the system.
Thank you"
8071,sep.1515,SEP-01-039-A,Sí,Sí,"Necesita información, tal vez una pestaña ""casos especiales"", pues todo es muuuy general. Por ejemplo, yo tengo mii cédula original desde 1994 y me gustaría saber como ""renovarla"", si necesito el trámite, o simplemente, verificar que existo en el sistema.","Desarrollar el sistema para poder consultar en linea. De la misma manera que uno imprime su acta de nacimiento, saca su curp, o incluso revisa su RFC.",2017-01-17,0,1,"Need information, maybe a tab ""special case"" because everything is generally muuuy. For example, I have mii original copy since 1994 and I would like to know how to ""renew"" if I need the procedure, or simply verify that exist in the system.","Develop the system to check online. In the same way that you print your birth certificate, he pulls out his CURP, or even check your RFC."
8072,SRE113,SRE-03-003,Sí,No,,mexitel citas por internet no funciona llevo 2 semanas intentando hacer mi cita y no se puede concretar,2017-01-17,3,0,,MEXITEL internet dating does not work took 2 weeks trying to make my appointment and can not realize
8073,INM616,INM-03-003-C,No,Sí,"Como llenar los formatos con algún ejemplo, no aparece nada y cundo va uno personalmente a las oficinas de migración, el personal NO COOPERA",Todo se necesita una página más amigable para obtener la información que se necesita,2017-01-17,0,0,"Filling out the forms with an example, nothing appears and Cundo one goes personally to immigration offices, staff NOT COOPERATE",Everything a friendlier page takes to get the information you need
8074,SRE2871,SRE-03-010,No,Sí,el numero correcfto de la delegacion,si,2017-01-17,1,1,the number of the delegation correcfto,yes
8075,SE2568,SE-09-064,No,Sí,NO ME DEJA HACER EL TRAMITE A PESAR DE QUE YA TENGO UNA DENOMINACON AUTORIZADA.,"NO ES CLARO LOS PASOS A SEGUIR, LLEVO VARIOS DIAS INTENTANDO CREAR MI EMPRESA Y LA VERDAD ES QUE URGE Y NO PUEDO LOGRARLO",2017-01-18,0,1,DO NOT LET ME STEP ALTHOUGH I HAVE AN UNAUTHORIZED DENOMINACON.,"It is not clear THE STEPS, took several days trying to create MY COMPANY AND THE TRUTH IS THAT URGE AND I CAN DO IT"
8076,AFSEDF842,AFSEDF-01-014,No,Sí,OPCION DE INSCRIPCION,TODO,2017-01-18,1,1,ENROLLMENT OPTION,EVERYTHING
8077,SAGARPA1723,SAGARPA-16-002-G,No,Sí,No encuentro una pagina en donde se me pueda apoyar con una incubadora y una criadora de aves domesticas.,. mi correo es bdvvmvz@gmail.com,2017-01-18,1,1,I can not find a page where I can support with an incubator and brooder poultry.,. my email is bdvvmvz@gmail.com
8078,ISSSTE863,ISSSTE-06-008,No,Sí,LAS DIRECCIONES DE LAS SUBDELEGACIONES POR CIUDADES Y/O PRINCIPALES MUNICIPIOS Y SUS TELEFONOS ACTUALIZADFOS DONDE PRESENTAR LOS DOCUMENTOS.,EL TIEMPO DE ENTREGA .,2017-01-18,1,1,Subdelegations addresses BY CITIES AND / OR PRINCIPAL MUNICIPALITIES AND TELEPHONES WHERE ACTUALIZADFOS the documents.,DELIVERY TIME .
8079,SEDENA38,SEDENA-01-009,No,Sí,llevo mucho tiempo tratando de obtener la reposición de mi cartilla y siempre me salen q no se puede,hagan los tramites sencillos,2017-01-18,0,0,I have long been trying to get my book replenishment and I always go q can not be,do the simple paperwork
8080,AFSEDF842,AFSEDF-01-014,Sí,Sí,listado de escuelas y lo que ofrece para preescolar primer grado pide que asista a la escuela directamente que oferte esta demanda pero no se cuales lo tengan.,"Como lo mencione anteriormente colocar el listado de todas las escuelas que se tienen con el cct, op, ubicacion y telefono.
Que todas las escuelas cuenten con portal o pagina y suban informacion constantemente de las convocatorias.",2017-01-18,1,1,and list of schools offering preschool first grade required to attend school directly to bid this demand but which do not have it.,"As I mentioned earlier put the list of all schools that have the cct, op, location and telephone.
That all schools have portal or site and upload information constantly calls."
8081,SHCP2553,SHCP-00-008,Sí,Sí,"Buenos días: esta información es excelente existe la posibilidad de que su información sea más completa me refiero, independientemente de que es claro que es para los que cotizan para el Issste, pero como que su información esta incompleta como que le falta ser más explicito y más veraz. agradeciendo de antemano por su atención muchas gracias.","Porque no extender más las oficina de tramites, por ejemplo en cada clínica ya no digamos nada mas en las subdelegaciones que se encuentran bastante lejos, si no hacerlas más accesibles. digo para tener más facilidad de arreglar nuestros tramites o hacerlas por vía correo electrónico.",2017-01-18,2,1,"Good morning: This information is excellent there is a possibility that your information is more complete I mean, whatever it is clear that it is for listed for Issste, but as your information is incomplete as it lacks be more explicit and more truthful. Thanking you in advance for your attention thank you very much.","Because not extend the office paperwork, for example at each clinic let alone anything else in the subdelegations that are quite far, if not make them more accessible. I say to be easier to fix our procedures or make them via email."
8083,SEGOB171,SEGOB-05-005,Sí,Sí,Requerimientos para que alguien aparte del titular pueda hacer el trámite.,"Tener ventanilla en las oficinas administrativas del IMSS para este trámite, extender horarios de atención a los sabados.",2017-01-18,1,1,Requirements for someone other than the owner can do the procedure.,"Have window in the administrative offices of the IMSS for this procedure, extended opening hours on Saturdays."
8084,RAN2335,SEDATU-04-047,Sí,Sí,el personal que labora es ineficiente,sustituyendo a los funcionarios flojos,2017-01-18,0,0,personnel working is inefficient,replacing loose officials
8085,IMSS599,IMSS-02-020-B,Sí,Sí,que es obligatorio tener un correo electronico,"una de las opción es quitar el campo del correo ya que muchas personas no cuentan con ello o van a Internet y no pueden sacarlos ya que es necesario tenerlo,",2017-01-18,1,1,it is mandatory to have an email,"one of the option is to remove the mail field since many people do not have it or go to the Internet and can no longer get them out it is necessary to have it,"
8086,SEDESOL665,SEDESOL-10-032-D,Sí,Sí,EL DATO PRESISO DE COMO REGISTRAR EN EL SIFODE O ESO DONDE ES EL ESTUDIO SOCIO ECONOMICO Y ADMEAS QUE NO SEAN TAN GACHOS Y QUE SEA MAS GENERAL LAS COMVOCATORIAS YA QUE EXCLUYEN A MUCHA POBLACION INTERESADA EN ACCEDER A ESTE PROGRAMA ESO ES MUY INJUSTO,LO QUE DICE ARRIBA JEJEJE Y QUE DESDE EL PRINCIPIO PONGAN PARA CUANDO HABREN LAS COMVOCATORIAS PARA SUBIR LA INFORMACION Y TENER TODO LISTO ENTRE ELLO QUE ESTEN LOS DATOS DE LOS INTERESADOS EN EL SIFODE O DONDE SEA QUE QUEDA LA CUIS,2017-01-18,0,1,HOW THE DATA Presis REGISTRAR IN OR THAT WHERE IS SIFODE STUDY SOCIO ECONOMIC AND SO THAN ADME downcast and be more general COMVOCATORIAS AS A LOT OF PEOPLE EXCLUDED INTERESTED IN THIS PROGRAM THAT ACCESS is very unfair,WHAT DOES THE ABOVE JEJEJE AND FROM THE BEGINNING WHEN PLACING HABREN COMVOCATORIAS TO RAISE THE INFORMATION AND READY TO HAVE ALL IT THAT ARE BETWEEN DATA FROM INTERESTED IN SIFODE or wherever IS THE CUIS
8087,INM812,INM-03-009-B,No,Sí,"donde recibe sello de regresar. la oficina dice en el aeropuerto de Houston, pero no puedo encontrar una INM oficina en Houston TX",dice donde sellos son obtenado,2017-01-18,1,1,"which receives seal back. the office said in the Houston airport, but I can not find an INM office in Houston TX",He says where seals are obtenado
8088,ISSSTE623,FOVISSSTE-00-006,Sí,Sí,"A dónde dirigirse para la cancelación del crédito hipotecario, a dónde dirigirse para solicitar otro crédito hipotecario a dónde dirigirse para wye ya no le descuente el crédito, tengo casi cuatro mesesvy me siguen descontando, hoja la pudieran contestarle, gracias","Dar información, de lugares, dependencia, etc. Telefonos, direcciones,vwuectipo de documentos llevar.",2017-01-18,0,1,"Where to go for cancellation of mortgage credit, where to go for another mortgage where to go for wye and does not deduct credit, have almost four mesesvy I still discounting, they could answer sheet, thanks","Give information, places, dependency, etc. Addresses, documents vwuectipo carry."
8089,CAPUFE930,CAPUFE-01-004,Sí,No,,que contesten el telefono 712-4689,2017-01-18,3,0,,to answer the phone 712-4689
8090,SRE112,SRE-03-002,No,Sí,como pagar en el banco,explicar mas detallado,2017-01-18,1,1,like paying in the bank,explain more detailed
8091,SEDESOL61,SEDESOL-22-001-A,No,No,,"https://tys.sedesol.gob.mx/Tramite/vistas/public/tramiteDispatcher.xhtml?cve=SEDESOL-22-001-A
que la paguina que se debe hacer el tramite esta caida y espero que nos den una fechas para hacer el tramite",2017-01-18,3,1,,"https://tys.sedesol.gob.mx/Tramite/vistas/public/tramiteDispatcher.xhtml?cve=SEDESOL-22-001-A
paguina that you should do the procedure is fall and hopefully give us a date for the processed"
8092,sep.3032,SEP-25-002-B,No,Sí,en diga en que banco hacer el pago,ser mas preciso para hacer mas rápido el proceso,2017-01-18,1,1,to say that the bank make payment,I be more precise to make the process faster
8093,ISSSTE500,ISSSTE-06-012-D,No,No,,"La forma del pago ,dar opciones en varios bancos con opciones como lo maneja fovissste, el banco donde se debe pagar es lento .",2017-01-18,3,0,,"The form of payment, give options in several banks with options as fovissste manages the bank where you have to pay is slow."
8094,SEGOB173,SEGOB-05-003,No,Sí,LA PAGINA donde se puede obtener o tramitar la curp en linea,poner el link para tramite de la curp,2017-01-19,1,1,The page where you can obtain or process the CURP online,put the link to ruling of the CURP
8095,sep.3019,sep.-23-2012,Sí,No,,que no me quiten el seguro y tambien no me quiten prospera,2017-01-19,3,0,,not to remove my insurance and I also remove Stalled
8096,INAPAM2791,INAPAM-01-001,No,Sí,Los modulos de ubicacion del inapam,La pagina de internet,2017-01-19,1,1,Location modules INAPAM,The Web page
8097,IMSS210,IMSS-02-066-J,No,Sí,"que en los tramites digitales se incluya el dar de alta a beneficiarios, di de alta mi firma electrónica y ni asi pude dar de alta a mis beneficiarios","que en los tramites digitales se incluya el dar de alta a beneficiarios, di de alta mi firma electrónica y ni asi pude dar de alta a mis beneficiarios",2017-01-19,0,0,"that digital inclusion procedures enlist the beneficiaries, di register my electronic signature and still not able to discharge my beneficiaries","that digital inclusion procedures enlist the beneficiaries, di register my electronic signature and still not able to discharge my beneficiaries"
8098,SEGOB895,SEGOB-09-003,No,Sí,a todos los estados y municipios,que sea para todos,2017-01-19,1,1,all states and municipalities,it all
8099,SEP69,SEP-01-030-A,Sí,Sí,"Qué hacer si vence tu pago?
Basta con una actualización en el monto del pago o se necesita pagar todo de nuevo?",Un teléfono para resolver dudas,2017-01-19,1,1,"What to do if your payment expires?
Just an update on the amount of the payment or need to pay it all back?",A telephone to answer questions
8100,IMSS199,IMSS-02-068,No,Sí,te piden muchas más cosas en la subdelegación 2,Podrían guardar un historial de cada empresa para que sea más ágil el trámite en el futuro y ahorrar miles de horas,2017-01-19,0,0,they ask for much more in the sub 2,They could keep a record of each company to be more agile the process in the future and save thousands of hours
8101,PROFECO90,PROFECO-00-017,No,Sí,Permitir hacer el registro vía internet como en la condusef,Permitir hacer el registro vía internet como en la condusef,2017-01-19,1,1,Allow to check via internet and CONDUSEF,Allow to check via internet and CONDUSEF
8102,SRE260,SRE-01-033,Sí,Sí,especificar si una persona ciudadano mexicano o un residente temporal o permanente puede tramitar a sus familiares directos en una oficina consular sacando una cita y presentando por supuesto los documentos acreditativos que estàn establecidos sin necesidad de realizarlos en el instituto para luego obtener la cita consular.,"lo que se plantea que pudiera faltar. 
gracias",2017-01-19,1,1,Mexican citizen specify whether a person or a temporary or permanent resident can file their relatives in a consular office taking an appointment and submitting of course the documents that are established without realizing them in high school and then get the consular appointment.,"what arises that might be missing.
Thank you"
8103,ISSSTE504,ISSSTE-02-002,Sí,Sí,el costo que cobrara el notario por tramite del testamento. porque se dice que es gratuito el tramite pero indican que hay que pagar al notario. de que cantidad estaríamos hablando mas o menos ????,no dejar preguntas a la imaginación. dar toda la información precisa para no ir cerrados de ojos y después llegando al lugar de la cita nos enteremos que que no es gratuito o que no llevamos lo necesario para pagar el notario. informen costo por servicio de notario.,2017-01-19,1,0,"the cost charged by the notary ruling of the will. because it is said to be free processing, but indicate that you have to pay the notary. that amount would be talking more or less ????",no questions left to the imagination. give all the required information will not be closed eye and then reaching the rendezvous we learn that it is not free or not we would need to pay the notary. report notary service cost.
8104,INM820,INM-03-009-D,Sí,Sí,"En caso de union familiar no dice si el cónyuge necesita estar presente, nada mas que el tiene que firmar.","Asegurar de que todos tengan la misma información, porque a cada persona que se le pregunta algo tenemos informaciones diferentes.
Hablar por telefono también es dificil al paso que timbra por mucho tiempo y nadie contesta, cuando contestan pasa lo dicho anteriormente.",2017-01-19,1,0,"In case of family union it does not say if the spouse needs to be present, nothing but must sign.","Ensure that everyone has the same information because each person is asked something we have different information.
Talking on the phone is also difficult to step ringing for a long time and no one answers, when they answer the above happens."
8105,SEP71,SEP-01-031-A,Sí,Sí,Que puedas recibir la información vía telefónica,Hable a la SEP en merida yucatan ubicada en la avenida Yucalpetén. Mejor conocida como sep zamna y la señorita elizabeth Castro nisiquiera me dejo hablar y me dijo que no daban información telefónica que tiene que ser personal. No le veo el problema de dar la información o documentos que se requieren. Pueden iniciar mejorando dandole un curso de atención al ciudadano o por lo menos que la regresen a la primaria o a su casa para que aprenda modales .,2017-01-19,1,0,You can receive information via telephone,Talk to the SEP in Merida Yucatan located in the Yucalpetén Avenue. Sep Zamna better known as Miss Elizabeth Castro and I do not even let you talk and told me not giving telephone information that has to be personal. I do not see the problem of giving the information or documents required. They can start a course giving better care to the citizen or at least the return to primary or home to learn manners.
8106,SEMARNAT246,SEMARNAT-03-020-A,Sí,Sí,"falta agregar espacios para poner informacion referente a las personas autorizadas para oir y recibir informacion, y los cuadros donde se llena la informacion son muy pequeños y la informacion se pierde si se llena nombres muy grandes o si el permiso esta nombre de varias personas","las hojas para llenar la informacion sobre volumenes a solicitar en ambas dice para tramite por primera vez, siendo que la tercer hoja debe decir para tramites subsecuentes y las filas son muy pocas para llenar y los especios muy reducidos, que si se pone mucha informacion se distorciona o no se entiende",2017-01-19,0,0,"need to add spaces to enter information concerning the persons authorized to hear and receive information, and pictures where it fills the information are very small and fills up information if big names is lost or if permission is the name of several people","leaves to fill the volume information to request both said to processed first, being the third sheet must say for subsequent procedures and the rows are too few to fill and especios very small, if it gets much information distorts or misunderstanding"
